Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1835           0      0.18635  0.16621  0.35  100000   16621   89196  4020898  40.21
  1835         1-4      0.03648  0.13381  1.52   83379   11157  305860  3931702  47.15
  1835         5-9      0.01248  0.06031  2.24   72222    4356  349078  3625843  50.20
  1835        10-14     0.00765  0.03751  2.35   67866    2546  332582  3276765  48.28
  1835        15-19     0.00609  0.02999  2.49   65320    1959  321694  2944183  45.07
  1835        20-24     0.00802  0.03934  2.58   63361    2493  310777  2622489  41.39
  1835        25-29     0.00915  0.04471  2.48   60869    2722  297499  2311712  37.98
  1835        30-34     0.00940  0.04594  2.56   58147    2671  284206  2014213  34.64
  1835        35-39     0.01210  0.05875  2.55   55476    3259  269382  1730007  31.18
  1835        40-44     0.01228  0.05958  2.49   52217    3111  253271  1460625  27.97
  1835        45-49     0.01452  0.07013  2.57   49106    3444  237149  1207354  24.59
  1835        50-54     0.01824  0.08730  2.54   45662    3986  218507   970205  21.25
  1835        55-59     0.02197  0.10430  2.57   41675    4347  197815   751698  18.04
  1835        60-64     0.03333  0.15436  2.61   37328    5762  172887   553883  14.84
  1835        65-69     0.04743  0.21209  2.51   31567    6695  141168   380996  12.07
  1835        70-74     0.06571  0.28261  2.53   24872    7029  106968   239827   9.64
  1835        75-79     0.10151  0.40352  2.46   17843    7200   70925   132859   7.45
  1835        80-84     0.14579  0.52476  2.33   10643    5585   38308    61934   5.82
  1835        85-89     0.19213  0.62606  2.22    5058    3167   16481    23627   4.67
  1835        90-94     0.24694  0.71971  2.10    1891    1361    5512     7146   3.78
  1835        95-99     0.31115  0.80075  1.97     530     425    1364     1633   3.08
  1835       100-104    0.38339  0.86486  1.83     106      91     238      269   2.55
  1835       105-109    0.46117  0.91142  1.68      14      13      28       31   2.15
  1835       110+       0.52464  1.00000  1.91       1       1       2        2   1.91
  1836           0      0.19554  0.17349  0.35  100000   17349   88723  4160463  41.60
  1836         1-4      0.02869  0.10698  1.47   82651    8842  308249  4071740  49.26
  1836         5-9      0.00974  0.04746  2.33   73809    3503  359679  3763491  50.99
  1836        10-14     0.00572  0.02819  2.34   70306    1982  346250  3403812  48.41
  1836        15-19     0.00564  0.02783  2.54   68324    1901  336947  3057562  44.75
  1836        20-24     0.00698  0.03433  2.59   66423    2281  326623  2720615  40.96
  1836        25-29     0.00879  0.04300  2.56   64143    2758  313990  2393993  37.32
  1836        30-34     0.01010  0.04930  2.55   61384    3026  299495  2080002  33.89
  1836        35-39     0.01255  0.06089  2.55   58358    3553  283085  1780507  30.51
  1836        40-44     0.01337  0.06465  2.47   54805    3543  265050  1497422  27.32
  1836        45-49     0.01482  0.07148  2.54   51261    3664  247286  1232372  24.04
  1836        50-54     0.01745  0.08367  2.55   47597    3983  228222   985086  20.70
  1836        55-59     0.02334  0.11050  2.59   43615    4820  206452   756864  17.35
  1836        60-64     0.03514  0.16203  2.60   38795    6286  178881   550412  14.19
  1836        65-69     0.05000  0.22245  2.52   32509    7232  144634   371531  11.43
  1836        70-74     0.07380  0.31210  2.53   25277    7889  106899   226897   8.98
  1836        75-79     0.10907  0.42619  2.44   17388    7411   67944   119998   6.90
  1836        80-84     0.16207  0.56562  2.33    9977    5643   34821    52054   5.22
  1836        85-89     0.22870  0.69384  2.17    4334    3007   13149    17233   3.98
  1836        90-94     0.30864  0.80070  2.00    1327    1062    3442     4084   3.08
  1836        95-99     0.40165  0.87988  1.81     264     233     579      642   2.43
  1836       100-104    0.50237  0.93099  1.62      32      30      59       62   1.97
  1836       105-109    0.60331  0.96059  1.45       2       2       3        4   1.65
  1836       110+       0.68274  1.00000  1.46       0       0       0        0   1.46
  1837           0      0.17557  0.15759  0.35  100000   15759   89757  4307480  43.07
  1837         1-4      0.02436  0.09177  1.46   84241    7731  317336  4217724  50.07
  1837         5-9      0.00727  0.03567  2.32   76510    2729  375233  3900387  50.98
  1837        10-14     0.00559  0.02754  2.43   73781    2032  363680  3525155  47.78
  1837        15-19     0.00543  0.02680  2.54   71749    1923  354012  3161474  44.06
  1837        20-24     0.00739  0.03632  2.64   69826    2536  343135  2807462  40.21
  1837        25-29     0.00901  0.04409  2.53   67290    2967  329131  2464327  36.62
  1837        30-34     0.00994  0.04849  2.54   64323    3119  313954  2135197  33.19
  1837        35-39     0.01257  0.06098  2.54   61204    3732  296822  1821243  29.76
  1837        40-44     0.01257  0.06092  2.47   57472    3501  278512  1524421  26.52
  1837        45-49     0.01600  0.07701  2.59   53971    4156  259847  1245910  23.09
  1837        50-54     0.01897  0.09060  2.52   49814    4513  237886   986063  19.79
  1837        55-59     0.02544  0.11986  2.60   45301    5430  213460   748177  16.52
  1837        60-64     0.03856  0.17641  2.59   39871    7034  182392   534717  13.41
  1837        65-69     0.05517  0.24285  2.54   32838    7975  144553   352325  10.73
  1837        70-74     0.08556  0.35255  2.50   24863    8766  102444   207772   8.36
  1837        75-79     0.11586  0.44480  2.39   16097    7160   61800   105328   6.54
