"","Country","Year","Sex","Cause2","V1"
"1",4050,1994,"m","C26",48
"2",4050,1994,"m","C68",8
"3",4050,1994,"m","C78",2
"4",4050,1994,"m","C79",4
"5",4050,1995,"m","C26",22
"6",4050,1995,"m","C39",4
"7",4050,1995,"m","C68",4
"8",4050,1995,"m","C79",2
"9",4050,1996,"m","C26",50
"10",4050,1996,"m","C39",2
"11",4050,1996,"m","C68",10
"12",4050,1997,"m","C26",50
"13",4050,1997,"m","C39",6
"14",4050,1997,"m","C68",2
"15",4050,1998,"m","C26",36
"16",4050,1998,"m","C68",2
"17",4050,1999,"m","C26",42
"18",4050,1999,"m","C68",12
"19",4050,2000,"m","C26",40
"20",4050,2000,"m","C39",2
"21",4050,2000,"m","C68",10
"22",4050,2001,"m","C26",22
"23",4050,2001,"m","C39",2
"24",4050,2001,"m","C68",8
"25",4050,2002,"m","C26",26
"26",4050,2002,"m","C39",2
"27",4050,2002,"m","C68",10
"28",4050,2003,"m","C26",26
"29",4050,2003,"m","C39",2
"30",4050,2003,"m","C68",2
"31",4050,2004,"m","C26",26
"32",4050,2004,"m","C39",2
"33",4050,2004,"m","C68",16
"34",4050,2005,"m","C26",52
"35",4050,2005,"m","C39",8
"36",4050,2005,"m","C68",18
"37",4050,2006,"m","C26",60
"38",4050,2006,"m","C39",2
"39",4050,2006,"m","C68",12
"40",4050,2007,"m","C26",42
"41",4050,2007,"m","C39",16
"42",4050,2007,"m","C68",28
"43",4050,2007,"m","C78",312
"44",4050,2007,"m","C79",72
"45",4050,2008,"m","C26",52
"46",4050,2008,"m","C39",18
"47",4050,2008,"m","C68",24
"48",4050,2008,"m","C78",30
"49",4050,2009,"m","C26",56
"50",4050,2009,"m","C39",40
"51",4050,2009,"m","C68",16
"52",4050,2009,"m","C78",22
"53",4050,2009,"m","C79",6
"54",4050,2010,"m","C26",46
"55",4050,2010,"m","C39",28
"56",4050,2010,"m","C68",28
"57",4050,2010,"m","C78",34
"58",4050,2010,"m","C79",10
"59",4050,2011,"m","C26",36
"60",4050,2011,"m","C39",42
"61",4050,2011,"m","C68",26
"62",4050,2012,"m","C26",34
"63",4050,2012,"m","C39",22
"64",4050,2012,"m","C68",14
"65",4050,2013,"m","C26",54
"66",4050,2013,"m","C39",32
"67",4050,2013,"m","C68",16
"68",4050,2014,"m","C26",32
"69",4050,2014,"m","C39",24
"70",4050,2014,"m","C68",20
