	Sex	No	Cause	ex	cv			
1	Male	1	Smoking related cancer	0.469967215	-0.001840246	0.001840246	0.01207007	15.25%
2	Male	2	Non-Smoking related cancer	0.185537383	-0.000789771	0.000789771		6.54%
3	Male	3	Cardiovascular	0.332685817	-0.00122726	0.00122726		10.17%
4	Male	4	Respiratory-Infectious	0.054398593	-8.96E-05	8.95629E-05		0.74%
5	Male	6	Respiratory-Non-infectious	0.117523691	-0.000544702	0.000544702		4.51%
6	Male	6	External	-0.18815361	0.003193998	-0.003193998		-26.46%
7	Male	7	Other	0.773730045	-0.011117276	0.011117276		92.11%
8	Male	8	Above age 85	0.041170262	0.000344749	-0.000344749		-2.86%
								
9	Female	1	Smoking related cancer	0.348490422	-0.002119935	0.002119935	0.011696665	18.12%
10	Female	2	Non-Smoking related cancer	0.217146458	-0.001518905	0.001518905		12.99%
11	Female	3	Cardiovascular	0.205871175	-0.001155322	0.001155322		9.88%
12	Female	4	Respiratory-Infectious	0.026410866	-0.000262779	0.000262779		2.25%
13	Female	5	Respiratory-Non-infectious	0.228662834	-0.000801521	0.000801521		6.85%
14	Female	6	External	-0.151264267	0.003086341	-0.003086341		-26.39%
15	Female	7	Other	0.550553435	-0.008292131	0.008292131		70.89%
16	Female	8	Above age 85	-0.047597061	-0.000632412	0.000632412		5.41%
								
								
								
								
								
								
								
								
								
								
