Year     Age        Female             Male            Total
2014      0            100.00           151.00           251.00
2014      1             13.00            12.00            25.00
2014      2              2.00             3.00             5.00
2014      3              5.00             9.00            14.00
2014      4              5.00             2.00             7.00
2014      5              7.00             4.00            11.00
2014      6              8.00             3.00            11.00
2014      7              2.00             6.00             8.00
2014      8              4.00             2.00             6.00
2014      9              3.00             2.00             5.00
2014     10              2.00             1.00             3.00
2014     11              4.00             3.00             7.00
2014     12              2.00             6.00             8.00
2014     13              4.00             7.00            11.00
2014     14              3.00             5.00             8.00
2014     15              8.00             8.00            16.00
2014     16              5.00            13.00            18.00
2014     17             10.00            15.00            25.00
2014     18              9.00            19.00            28.00
2014     19             14.00            29.00            43.00
2014     20             11.00            45.00            56.00
2014     21              7.00            41.00            48.00
2014     22             22.00            39.00            61.00
2014     23             14.00            55.00            69.00
2014     24             23.00            44.00            67.00
2014     25             15.00            51.00            66.00
2014     26             22.00            40.00            62.00
2014     27             18.00            43.00            61.00
2014     28             10.00            43.00            53.00
2014     29             22.00            49.00            71.00
2014     30             18.00            53.00            71.00
2014     31             17.00            42.00            59.00
2014     32             20.00            56.00            76.00
2014     33             26.00            52.00            78.00
2014     34             32.00            58.00            90.00
2014     35             17.00            42.00            59.00
2014     36             23.00            47.00            70.00
2014     37             24.00            46.00            70.00
2014     38             21.00            44.00            65.00
2014     39             28.00            48.00            76.00
2014     40             38.00            57.00            95.00
2014     41             50.00            68.00           118.00
2014     42             46.00            74.00           120.00
2014     43             45.00            81.00           126.00
2014     44             54.00            82.00           136.00
2014     45             73.00            79.00           152.00
2014     46             50.00           103.00           153.00
2014     47             98.00           121.00           219.00
2014     48             78.00           156.00           234.00
2014     49            100.00           151.00           251.00
2014     50            100.00           186.00           286.00
2014     51            106.00           175.00           281.00
2014     52            125.00           166.00           291.00
2014     53            145.00           176.00           321.00
2014     54            137.00           192.00           329.00
2014     55            144.00           217.00           361.00
2014     56            150.00           251.00           401.00
2014     57            197.00           291.00           488.00
2014     58            214.00           295.00           509.00
2014     59            235.00           326.00           561.00
2014     60            231.00           367.00           598.00
2014     61            283.00           441.00           724.00
2014     62            271.00           448.00           719.00
2014     63            324.00           519.00           843.00
2014     64            395.00           518.00           913.00
2014     65            446.00           616.00          1062.00
2014     66            507.00           696.00          1203.00
2014     67            537.00           824.00          1361.00
2014     68            580.00           866.00          1446.00
2014     69            613.00           954.00          1567.00
2014     70            650.00           976.00          1626.00
2014     71            673.00           983.00          1656.00
2014     72            632.00           924.00          1556.00
2014     73            658.00           869.00          1527.00
2014     74            714.00          1064.00          1778.00
2014     75            747.00          1085.00          1832.00
2014     76            845.00          1116.00          1961.00
2014     77            863.00          1182.00          2045.00
2014     78            926.00          1197.00          2123.00
2014     79            946.00          1196.00          2142.00
2014     80           1062.00          1288.00          2350.00
2014     81           1194.00          1350.00          2544.00
2014     82           1362.00          1486.00          2848.00
2014     83           1521.00          1566.00          3087.00
2014     84           1688.00          1540.00          3228.00
2014     85           1756.00          1647.00          3403.00
2014     86           1879.00          1605.00          3484.00
2014     87           2011.00          1597.00          3608.00
2014     88           2015.00          1481.00          3496.00
2014     89           2175.00          1535.00          3710.00
2014     90           2066.00          1418.00          3484.00
2014     91           2000.00          1194.00          3194.00
2014     92           2042.00          1086.00          3128.00
2014     93           1907.00           946.00          2853.00
2014     94           1665.00           727.00          2392.00
2014     95           1135.00           512.00          1647.00
2014     96            937.00           351.00          1288.00
2014     97            792.00           268.00          1060.00
2014     98            560.00           164.00           724.00
2014     99            408.00           105.00           513.00
2014    100            296.00            91.00           387.00
2014    101            204.00            39.00           243.00
2014    102            135.00            32.00           167.00
2014    103             77.00            14.00            91.00
2014    104             41.00            11.00            52.00
2014    105             21.03             2.04            23.07
2014    106             10.78             0.96            11.74
2014    107              5.08             0.00             5.08
2014    108              2.62             0.00             2.62
2014    109              1.18             0.00             1.18
2014    110+             0.31             0.00             0.31
