 Year      Age       Female          Male         Total
2014        0        55841.83     59133.33    114975.17 
   2014        1        55984.00     59263.67    115247.67 
   2014        2        56210.50     59264.17    115474.67 
   2014        3        57225.67     60328.33    117554.00 
   2014        4        57501.17     60867.00    118368.17 
   2014        5        56257.67     59693.50    115951.17 
   2014        6        55572.17     58983.83    114556.00 
   2014        7        55220.50     58374.83    113595.33 
   2014        8        54250.83     57084.67    111335.50 
   2014        9        53238.00     56106.83    109344.83 
   2014       10        52772.00     55719.67    108491.67 
   2014       11        51822.17     54420.50    106242.67 
   2014       12        50049.83     52685.00    102734.83 
   2014       13        48846.17     51822.50    100668.67 
   2014       14        48334.17     51226.50     99560.67 
   2014       15        48037.67     51168.67     99206.33 
   2014       16        48689.50     52319.00    101008.50 
   2014       17        50436.83     54160.50    104597.33 
   2014       18        53599.50     57642.83    111242.33 
   2014       19        57743.33     61633.00    119376.33 
   2014       20        61463.67     64749.00    126212.67 
   2014       21        64049.83     67606.17    131656.00 
   2014       22        66332.33     70095.00    136427.33 
   2014       23        68023.33     71449.67    139473.00 
   2014       24        67579.67     70385.33    137965.00 
   2014       25        65780.67     68539.67    134320.33 
   2014       26        64306.83     66699.17    131006.00 
   2014       27        62733.67     65168.50    127902.17 
   2014       28        61616.83     64913.83    126530.67 
   2014       29        60067.00     63676.67    123743.67 
   2014       30        58735.17     62137.17    120872.33 
   2014       31        58464.33     61659.50    120123.83 
   2014       32        58623.67     61509.00    120132.67 
   2014       33        59504.00     62055.67    121559.67 
   2014       34        59697.33     62294.00    121991.33 
   2014       35        58129.50     60551.17    118680.67 
   2014       36        57731.67     60076.83    117808.50 
   2014       37        58594.17     60972.83    119567.00 
   2014       38        60295.33     62432.83    122728.17 
   2014       39        62893.83     64962.83    127856.67 
   2014       40        63851.17     65741.83    129593.00 
   2014       41        63979.83     65752.83    129732.67 
   2014       42        64512.67     66233.33    130746.00 
   2014       43        63758.00     65367.67    129125.67 
   2014       44        62430.67     64031.67    126462.33 
   2014       45        63212.83     64906.67    128119.50 
   2014       46        65955.17     68053.67    134008.83 
   2014       47        67505.50     70156.33    137661.83 
   2014       48        67768.67     70468.50    138237.17 
   2014       49        67849.17     70060.17    137909.33 
   2014       50        65318.33     67549.17    132867.50 
   2014       51        61465.50     63582.33    125047.83 
   2014       52        59159.33     60782.67    119942.00 
   2014       53        57955.67     59147.00    117102.67 
   2014       54        57602.50     58748.67    116351.17 
   2014       55        57434.83     58642.33    116077.17 
   2014       56        57797.17     58476.50    116273.67 
   2014       57        57950.33     58729.67    116680.00 
   2014       58        57465.33     58109.17    115574.50 
   2014       59        56483.17     56585.33    113068.50 
   2014       60        56308.00     56525.83    112833.83 
   2014       61        56604.83     56598.00    113202.83 
   2014       62        56010.00     55542.17    111552.17 
   2014       63        56641.83     56125.33    112767.17 
   2014       64        58616.67     57961.67    116578.33 
   2014       65        60563.17     59282.33    119845.50 
   2014       66        61433.50     60015.17    121448.67 
   2014       67        61454.67     60183.67    121638.33 
   2014       68        60872.67     59721.00    120593.67 
   2014       69        59370.83     58355.17    117726.00 
   2014       70        56527.83     55006.00    111533.83 
   2014       71        51834.83     50118.83    101953.67 
   2014       72        46231.33     44335.67     90567.00 
   2014       73        42050.83     39636.00     81686.83 
   2014       74        40687.67     37650.33     78338.00 
   2014       75        39620.33     35594.33     75214.67 
   2014       76        37372.17     32767.67     70139.83 
   2014       77        35271.17     30253.00     65524.17 
   2014       78        33199.83     27951.33     61151.17 
   2014       79        31291.33     25426.50     56717.83 
   2014       80        29906.67     23254.83     53161.50 
   2014       81        29100.17     22021.00     51121.17 
   2014       82        28424.83     20652.17     49077.00 
   2014       83        27452.17     19067.67     46519.83 
   2014       84        25745.17     17172.50     42917.67 
   2014       85        24064.00     15391.67     39455.67 
   2014       86        22374.00     13593.17     35967.17 
   2014       87        20367.17     11761.00     32128.17 
   2014       88        18658.00     10293.67     28951.67 
   2014       89        16627.17      8678.50     25305.67 
   2014       90        14407.50      7163.33     21570.83 
   2014       91        12167.00      5720.00     17887.00 
   2014       92        10416.17      4502.83     14919.00 
   2014       93         8974.50      3555.17     12529.67 
   2014       94         6573.67      2452.83      9026.50 
   2014       95         4384.83      1531.33      5916.17 
   2014       96         3221.33      1016.17      4237.50 
   2014       97         2280.17       668.50      2948.67 
   2014       98         1511.00       378.33      1889.33 
   2014       99         1014.33       236.17      1250.50 
   2014      100          674.17       157.33       831.50 
   2014      101          417.83        77.67       495.50 
   2014      102          248.00        41.67       289.67 
   2014      103          138.17        16.83       155.00 
   2014      104           66.99         9.10        76.09 
   2014      105           33.46         4.26        37.73 
   2014      106           19.38         3.73        23.10 
   2014      107           11.00         2.00        13.00 
   2014      108            5.97         0.50         6.47 
   2014      109            2.43         0.00         2.43 
   2014      110+           3.05         1.00         4.05 
